window,group,sample_i,score_k_mean_ij,source
0,null_normal,0,-0.9891213503478509,"N(0,1)"
0,null_normal,1,-0.3677866514678832,"N(0,1)"
0,null_normal,2,1.2879252612892487,"N(0,1)"
0,null_normal,3,0.1939744191326132,"N(0,1)"
0,null_normal,4,0.9202308996398569,"N(0,1)"
0,null_normal,5,0.5771037912572513,"N(0,1)"
0,null_normal,6,-0.6364636463709805,"N(0,1)"
0,null_normal,7,0.5419522204102933,"N(0,1)"
0,null_normal,8,-0.3165954511658161,"N(0,1)"
0,null_normal,9,-0.32238911615896015,"N(0,1)"
0,null_normal,10,0.09716731867045719,"N(0,1)"
0,null_normal,11,-1.5259304065189514,"N(0,1)"
0,null_normal,12,1.1921661041016585,"N(0,1)"
0,null_normal,13,-0.6710896751741096,"N(0,1)"
0,null_normal,14,1.0002694196594604,"N(0,1)"
0,null_normal,15,0.1363211238531175,"N(0,1)"
0,null_normal,16,1.5320330796287964,"N(0,1)"
0,null_normal,17,-0.6599694137918207,"N(0,1)"
0,null_normal,18,-0.31179485646991756,"N(0,1)"
0,null_normal,19,0.337769126558826,"N(0,1)"
0,null_normal,20,-2.2074710981998042,"N(0,1)"
0,null_normal,21,0.8279214415587369,"N(0,1)"
0,null_normal,22,1.541630394690618,"N(0,1)"
0,null_normal,23,1.126806793265028,"N(0,1)"
0,null_normal,24,0.7547696443122508,"N(0,1)"
0,null_normal,25,-0.14597789311522394,"N(0,1)"
0,null_normal,26,1.2819022270597127,"N(0,1)"
0,null_normal,27,1.0740306219719435,"N(0,1)"
0,null_normal,28,0.39262084457727114,"N(0,1)"
0,null_normal,29,0.005114312828982818,"N(0,1)"
1,null_normal,0,-0.3617668721609232,"N(0,1)"
1,null_normal,1,-1.230232195490445,"N(0,1)"
1,null_normal,2,1.2262292928211507,"N(0,1)"
1,null_normal,3,-2.1720438866851817,"N(0,1)"
1,null_normal,4,-0.37014734585231535,"N(0,1)"
1,null_normal,5,0.16438006967466792,"N(0,1)"
1,null_normal,6,0.8598811846127368,"N(0,1)"
1,null_normal,7,1.761661236511811,"N(0,1)"
1,null_normal,8,0.993323775951811,"N(0,1)"
1,null_normal,9,-0.29152142609843873,"N(0,1)"
1,null_normal,10,0.7281275578891427,"N(0,1)"
1,null_normal,11,-1.2616003169196963,"N(0,1)"
1,null_normal,12,1.4299385266887068,"N(0,1)"
1,null_normal,13,-0.15647532482940535,"N(0,1)"
1,null_normal,14,-0.6737591499870575,"N(0,1)"
1,null_normal,15,-0.6390601004322052,"N(0,1)"
1,null_normal,16,-0.061361327620372906,"N(0,1)"
1,null_normal,17,-0.39278492256994324,"N(0,1)"
1,null_normal,18,2.2899099473145785,"N(0,1)"
1,null_normal,19,-0.718181147880596,"N(0,1)"
1,null_normal,20,0.03260774315697052,"N(0,1)"
1,null_normal,21,0.028049895585638977,"N(0,1)"
1,null_normal,22,0.028272122739737816,"N(0,1)"
1,null_normal,23,0.05534586195270899,"N(0,1)"
1,null_normal,24,-0.48156285818994926,"N(0,1)"
1,null_normal,25,-0.5834075004641189,"N(0,1)"
1,null_normal,26,-0.8621605020712843,"N(0,1)"
1,null_normal,27,-1.4881746132515903,"N(0,1)"
1,null_normal,28,0.2163068331092121,"N(0,1)"
1,null_normal,29,0.9843763506958761,"N(0,1)"
2,null_normal,0,-0.5430841410126281,"N(0,1)"
2,null_normal,1,-0.5586150390437845,"N(0,1)"
2,null_normal,2,-0.31648282932264754,"N(0,1)"
2,null_normal,3,-0.4606397412389045,"N(0,1)"
2,null_normal,4,-1.4362697490249443,"N(0,1)"
2,null_normal,5,1.365108032036919,"N(0,1)"
2,null_normal,6,0.43899988755746655,"N(0,1)"
2,null_normal,7,-0.7116950271980323,"N(0,1)"
2,null_normal,8,0.2971717615398513,"N(0,1)"
2,null_normal,9,-0.4384572726157321,"N(0,1)"
2,null_normal,10,-0.2116374333746801,"N(0,1)"
2,null_normal,11,0.36396383157911427,"N(0,1)"
2,null_normal,12,0.9529644919745344,"N(0,1)"
2,null_normal,13,1.5195241292412778,"N(0,1)"
2,null_normal,14,1.7039094489490383,"N(0,1)"
2,null_normal,15,-0.24885870743094268,"N(0,1)"
2,null_normal,16,-0.4997485911335096,"N(0,1)"
2,null_normal,17,0.09959750192201784,"N(0,1)"
2,null_normal,18,0.12834321228831272,"N(0,1)"
2,null_normal,19,-0.7342218924448597,"N(0,1)"
2,null_normal,20,-0.620475288234763,"N(0,1)"
2,null_normal,21,0.8132737204208481,"N(0,1)"
2,null_normal,22,1.6418010137407606,"N(0,1)"
2,null_normal,23,-0.22650084837917228,"N(0,1)"
2,null_normal,24,-0.6479652109953393,"N(0,1)"
2,null_normal,25,-0.28337120662418985,"N(0,1)"
2,null_normal,26,-0.9951313599700441,"N(0,1)"
2,null_normal,27,-0.2728717697893081,"N(0,1)"
2,null_normal,28,0.42244414146775444,"N(0,1)"
2,null_normal,29,-0.08134296158935517,"N(0,1)"
